cliente_id,cliente,direccion,estado,codigo_postal,email,telefono,metodo_pago,numero_tarjeta
C-31ij,Ilse Carolina Arguello Vargas,Pasaje Sur Hinojosa 546 Interior 968 Vieja Myanmar,OAX,06497,rolvera@yahoo.com,592.549.7283x41724,tarjeta,3516303758383771
C-95aQ,Isaac Berta Espinosa Bustamante,Prolongacion Norte Guillen 815 833 San Vicente de la Montaña,TAMPS,44107,geronimo50@yahoo.com,+90(3)9021386651,tarjeta,2226879089263405
C-98oG,Genaro Noelia Olivas Quiroz,"Avenida Norte Lozano 005 Edif. 213 , Depto. 580 San Pascual de la Montaña",MEX,11015-7667,jorge02@yahoo.com,08526507692,tarjeta,2245122837899163
C-92AC,Zeferino Hermelinda Cardenas,"Ampliacion Cortes 072 Edif. 362 , Depto. 032 Nueva Belarus",DGO,36879,riojasoctavio@yahoo.com,072-731-3705,tarjeta,377359909381316
C-61Rz,Judith Santiago Trejo,Eje vial Republica Centroafricana 816 Interior 150 San Gustavo los altos,SIN,75788-3053,homerohernandes@yahoo.com,(442)032-9738x877,efectivo,\"\"
C-91Ip,Luz Rebeca Maestas,Retorno Veracruz de Ignacio de la Llave 424 Interior 386 Nueva Tailandia,BCS,49534,aidasoria@hotmail.com,1-174-830-5667x85644,tarjeta,676287009135
C-77Tx,Dr. Cristina Almanza,Calle Fernandez 479 Interior 434 Nueva Etiopia,Q. ROO,93717-4366,puenteanel@yahoo.com,07350278768,tarjeta,180059400516595
C-00Iu,Jos Armenta Galvez,Circunvalacion Hungria 372 350 Vieja Iran,SIN,08028,guardadomicaela@hotmail.com,(883)037-0202x7371,tarjeta,503823710184
C-58BP,Lic. Rebeca Grijalva,Diagonal Yucatan 244 Interior 940 Nueva ex Republica Yugoslava de Macedonia,VER,16517,navarretemaria-del-carmen@hotmail.com,049.432.9844x811,efectivo,\"\"
C-12WI,Ing. Sara Vera,"Callejon Sonora 840 Edif. 500 , Depto. 035 Nueva Eritrea",BCS,99258,lourdes17@hotmail.com,690-529-7500,tarjeta,6581594467766644
C-84Bq,Minerva Salma Cabrera Arreola,"Periferico Norte Espinosa 069 Edif. 805 , Depto. 735 San Uriel los altos",CAMP,37674,ruben10@yahoo.com,01389532761,tarjeta,4898269797335795860
C-50fj,Bianca Olivera Rubio,"Peatonal Baja California 345 Edif. 932 , Depto. 689 San Gabriel de la Montaña",SIN,14539-6510,palvarez@gmail.com,419-460-4196x38532,efectivo,\"\"
C-52Ma,Marco Antonio Linda Arredondo Espinosa,"Cerrada Mongolia 706 Edif. 143 , Depto. 963 Nueva Cabo Verde",SON,40158,raulanguiano@yahoo.com,+21(2)1753924165,tarjeta,30186182817321
C-46sA,Soledad Bañuelos Orozco,Diagonal Canales 190 400 San Pedro los altos,DGO,11906-3330,cadenavictoria@hotmail.com,1-375-855-9066,tarjeta,3559813366291339
C-06Zu,Adriana Linda Medrano,"Continuacion Libia 552 Edif. 393 , Depto. 616 Vieja Alemania",GRO,55859-6725,gutierrezjosefina@hotmail.com,305.815.4901,tarjeta,6565203366274888
C-51eY,Reynaldo Delia Montez,"Viaducto Norte Guevara 804 Edif. 353 , Depto. 675 San Adan los altos",DGO,34423-5281,sanabriaivan@hotmail.com,03420400144,tarjeta,4744181929118390285
C-76hB,Hilda Ramirez Jaimes,Prolongacion Luxemburgo 228 133 San Hector los bajos,VER,89054-4687,lermaluis@gmail.com,1-134-830-6198,tarjeta,4662981967549710
